"Step","run1_v1_b1_200 - loss","run1_v1_b1_200 - loss__MIN","run1_v1_b1_200 - loss__MAX"
"0","0.69140625","0.69140625","0.69140625"
"1","0.69140625","0.69140625","0.69140625"
"3","0.69140625","0.69140625","0.69140625"
"4","0.69140625","0.69140625","0.69140625"
"5","0.69140625","0.69140625","0.69140625"
"7","0.69140625","0.69140625","0.69140625"
"8","0.69140625","0.69140625","0.69140625"
"9","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"10","0.69140625","0.69140625","0.69140625"
"11","0.69140625","0.69140625","0.69140625"
"12","0.69140625","0.69140625","0.69140625"
"14","0.69140625","0.69140625","0.69140625"
"15","0.69140625","0.69140625","0.69140625"
"16","0.69140625","0.69140625","0.69140625"
"17","0.000335693359375","0.000335693359375","0.000335693359375"
"18","0.69140625","0.69140625","0.69140625"
"19","0.69140625","0.69140625","0.69140625"
"20","0.69140625","0.69140625","0.69140625"
"21","0.69140625","0.69140625","0.69140625"
"22","0.69140625","0.69140625","0.69140625"
"23","0.69140625","0.69140625","0.69140625"
"24","0.69140625","0.69140625","0.69140625"
"25","8","8","8"
"26","8","8","8"
"27","0.69140625","0.69140625","0.69140625"
"28","0.69140625","0.69140625","0.69140625"
"29","0.69140625","0.69140625","0.69140625"
"30","16","16","16"
"31","0.69140625","0.69140625","0.69140625"
"32","0.0181884765625","0.0181884765625","0.0181884765625"
"33","0.69140625","0.69140625","0.69140625"
"34","16","16","16"
"35","16","16","16"
"36","0.69140625","0.69140625","0.69140625"
"37","4.03125","4.03125","4.03125"
"38","0.69140625","0.69140625","0.69140625"
"39","0.000335693359375","0.000335693359375","0.000335693359375"
"40","0.69140625","0.69140625","0.69140625"
"41","0.69140625","0.69140625","0.69140625"
"42","0.69140625","0.69140625","0.69140625"
"43","0.69140625","0.69140625","0.69140625"
"44","0.69140625","0.69140625","0.69140625"
"45","0.69140625","0.69140625","0.69140625"
"46","0.69140625","0.69140625","0.69140625"
"47","0.69140625","0.69140625","0.69140625"
"48","0.000335693359375","0.000335693359375","0.000335693359375"
"50","0.69140625","0.69140625","0.69140625"
"51","8","8","8"
"52","0.69140625","0.69140625","0.69140625"
"53","0.69140625","0.69140625","0.69140625"
"54","0.69140625","0.69140625","0.69140625"
"55","0.69140625","0.69140625","0.69140625"
"56","0.69140625","0.69140625","0.69140625"
"57","0.69140625","0.69140625","0.69140625"
"58","0.69140625","0.69140625","0.69140625"
"59","0.69140625","0.69140625","0.69140625"
"60","0.69140625","0.69140625","0.69140625"
"61","0.69140625","0.69140625","0.69140625"
"62","0.000335693359375","0.000335693359375","0.000335693359375"
"63","0.000335693359375","0.000335693359375","0.000335693359375"
"64","0.69140625","0.69140625","0.69140625"
"65","0.69140625","0.69140625","0.69140625"
"66","0.69140625","0.69140625","0.69140625"
"67","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"68","0.69140625","0.69140625","0.69140625"
"69","8","8","8"
"70","0.69140625","0.69140625","0.69140625"
"71","0.000335693359375","0.000335693359375","0.000335693359375"
"72","0.69140625","0.69140625","0.69140625"
"73","0.69140625","0.69140625","0.69140625"
"74","8","8","8"
"75","1.2656542480726785e-14","1.2656542480726785e-14","1.2656542480726785e-14"
"76","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"77","0.69140625","0.69140625","0.69140625"
"78","0.126953125","0.126953125","0.126953125"
"79","8","8","8"
"81","0.69140625","0.69140625","0.69140625"
"82","0.000335693359375","0.000335693359375","0.000335693359375"
"83","1.2656542480726785e-14","1.2656542480726785e-14","1.2656542480726785e-14"
"84","0.69140625","0.69140625","0.69140625"
"85","4.03125","4.03125","4.03125"
"86","4.03125","4.03125","4.03125"
"87","0.000335693359375","0.000335693359375","0.000335693359375"
"88","0.69140625","0.69140625","0.69140625"
"89","16","16","16"
"90","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"91","0.002471923828125","0.002471923828125","0.002471923828125"
"92","2.125","2.125","2.125"
"93","0.000335693359375","0.000335693359375","0.000335693359375"
"94","0.69140625","0.69140625","0.69140625"
"95","0.69140625","0.69140625","0.69140625"
"96","8","8","8"
"97","0.69140625","0.69140625","0.69140625"
"98","0.69140625","0.69140625","0.69140625"
"99","16","16","16"
"100","0.69140625","0.69140625","0.69140625"
"101","0.126953125","0.126953125","0.126953125"
"102","16","16","16"
"103","0.0181884765625","0.0181884765625","0.0181884765625"
"104","8","8","8"
"105","0.000335693359375","0.000335693359375","0.000335693359375"
"106","16","16","16"
"107","3.774403012357652e-11","3.774403012357652e-11","3.774403012357652e-11"
"108","0.000335693359375","0.000335693359375","0.000335693359375"
"109","0.69140625","0.69140625","0.69140625"
"110","0.69140625","0.69140625","0.69140625"
"111","0.69140625","0.69140625","0.69140625"
"112","0.69140625","0.69140625","0.69140625"
"113","4.03125","4.03125","4.03125"
"114","0.69140625","0.69140625","0.69140625"
"116","0.69140625","0.69140625","0.69140625"
"117","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"118","4.03125","4.03125","4.03125"
"119","0.69140625","0.69140625","0.69140625"
"120","0.0181884765625","0.0181884765625","0.0181884765625"
"121","0.000335693359375","0.000335693359375","0.000335693359375"
"122","0.69140625","0.69140625","0.69140625"
"123","0.69140625","0.69140625","0.69140625"
"124","0.126953125","0.126953125","0.126953125"
"125","0.69140625","0.69140625","0.69140625"
"126","0.69140625","0.69140625","0.69140625"
"127","4.03125","4.03125","4.03125"
"128","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"130","0.69140625","0.69140625","0.69140625"
"131","0.69140625","0.69140625","0.69140625"
"132","0.000335693359375","0.000335693359375","0.000335693359375"
"133","0.0181884765625","0.0181884765625","0.0181884765625"
"134","0.69140625","0.69140625","0.69140625"
"135","16","16","16"
"136","0.69140625","0.69140625","0.69140625"
"137","0.000335693359375","0.000335693359375","0.000335693359375"
"138","8","8","8"
"139","0.000335693359375","0.000335693359375","0.000335693359375"
"140","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
"141","8","8","8"
"142","0.000006139278411865234","0.000006139278411865234","0.000006139278411865234"
"143","0.000335693359375","0.000335693359375","0.000335693359375"
"145","0.000335693359375","0.000335693359375","0.000335693359375"
"146","0.69140625","0.69140625","0.69140625"
"147","0.000335693359375","0.000335693359375","0.000335693359375"
"148","1.126900315284729e-7","1.126900315284729e-7","1.126900315284729e-7"
